Name	Consensus length	Total read count	Single reads	Reads in pairs	Average coverage	Reference sequence	Reference length	Reference common name	Reference latin name
seed-7957	16909	711	431	280	3.288	seed-7957	30246		
seed-8097	5997	153	95	58	1.879	seed-8097	11103		
seed-8122	5059	76	32	44	0.979	seed-8122	11243		
seed-8131	25248	801	505	296	2.254	seed-8131	49258		
seed-8209	3859	131	35	96	4.925	seed-8209	3909		
seed-8286	7098	363	175	188	7.178	seed-8286	7165		
seed-8377	2219	96	42	54	5.778	seed-8377	2334		
seed-8543	27119	722	412	310	1.871	seed-8543	53334		
seed-8544	4763	368	32	336	11.505	seed-8544	4776		
seed-8559	22439	4633	971	3662	30.538	seed-8559	22443		
seed-8694	8539	277	151	126	3.255	seed-8694	11804		
seed-8904	6998	180	126	54	1.857	seed-8904	13116		
seed-8937	7351	245	151	94	2.772	seed-8937	12114		
seed-8986	8139	357	89	268	6.439	seed-8986	8160		
seed-8993	4190	492	50	442	17.536	seed-8993	4190		
seed-9111	3392	394	258	136	16.333	seed-9111	3430		
seed-9113	4573	145	39	106	4.434	seed-9113	4749		
seed-9138	3663	84	60	24	1.562	seed-9138	7504		
seed-9215	2901	152	84	68	6.799	seed-9215	3202		
seed-9270	6368	1894	1606	288	21.172	seed-9270	12267		
seed-9298	3299	81	7	74	3.4	seed-9298	3570		
seed-9391	16843	1032	758	274	5.498	seed-9391	25207		
seed-9466	9389	241	129	112	2.089	seed-9466	16192		
seed-9515	2208	100	32	68	6.375	seed-9515	2216		
seed-9550	23613	664	358	306	2.171	seed-9550	42635		
seed-9686	2316	25	11	14	0.581	seed-9686	5872		
seed-9873	8603	317	185	132	2.689	seed-9873	16530		
seed-10159	1698	66	40	26	3.404	seed-10159	2729		
seed-10187	5452	235	61	174	5.851	seed-10187	5754		
seed-10244	11054	520	286	234	3.87	seed-10244	18763		
seed-10296	6622	341	193	148	6.085	seed-10296	7806		
seed-10321	11911	402	232	170	2.958	seed-10321	19060		
seed-10351	5164	326	210	116	8.059	seed-10351	5565		
seed-10352	10156	323	193	130	2.374	seed-10352	19110		
seed-10355	5745	53	5	48	0.641	seed-10355	12369		
seed-10360	5656	221	141	80	3.179	seed-10360	9553		
seed-10397	18039	2856	306	2550	23.511	seed-10397	18136		
seed-10399	12335	431	201	230	2.948	seed-10399	20674		
seed-10518	2227	23	5	18	0.544	seed-10518	6131		
seed-10525	14493	410	246	164	1.743	seed-10525	32569		
seed-10688	2851	108	68	40	5.187	seed-10688	3024		
seed-10722	5868	174	72	102	2.065	seed-10722	11879		
seed-10800	6427	145	81	64	1.921	seed-10800	10721		
seed-10864	17179	235	85	150	0.943	seed-10864	36012		
seed-11001	4682	341	165	176	7.697	seed-11001	6393		
seed-11205	3809	962	516	446	36.644	seed-11205	3805		
seed-11333	2932	665	77	588	33.695	seed-11333	2939		
seed-11391	3851	79	35	44	1.451	seed-11391	7702		
seed-11486	2686	111	43	68	5.742	seed-11486	2782		
seed-11522	34175	1346	790	556	2.982	seed-11522	62766		
seed-11571	7064	318	106	212	6.294	seed-11571	7272		
seed-12103	5668	79	25	54	0.799	seed-12103	14366		
seed-12246	7903	259	189	70	2.458	seed-12246	14459		
seed-12305	6359	155	81	74	1.666	seed-12305	13109		
seed-12535	1083	12	8	4	0.495	seed-12535	3282		
seed-12545	4002	1413	231	1182	52.234	seed-12545	4002		
seed-12815	4078	83	31	52	1.984	seed-12815	5952		
seed-12882	4590	696	486	210	21.013	seed-12882	4591		
seed-13138	3150	77	23	54	3.38	seed-13138	3309		
seed-13280	3373	114	24	90	4.914	seed-13280	3375		
seed-13502	2749	7439	1987	5452	387.722	seed-13502	2746		
seed-13598	2449	166	68	98	9.319	seed-13598	2554		
seed-13681	2945	1206	596	610	57.869	seed-13681	2969		
seed-13698	9130	200	104	96	1.785	seed-13698	15719		
seed-14004	4112	570	336	234	17.816	seed-14004	4472		
seed-14049	3498	61	31	30	1.245	seed-14049	6943		
seed-14078	3125	136	96	40	5.38	seed-14078	3661		
seed-14147	4481	113	51	62	2.297	seed-14147	6957		
seed-14638	3784	89	53	36	2.029	seed-14638	5987		
seed-14668	2854	172	106	66	5.038	seed-14668	4991		
seed-14697	4992	150	110	40	2.455	seed-14697	8515		
seed-14914	8426	1157	105	1052	20.549	seed-14914	8426		
seed-14927	5829	358	36	322	9.069	seed-14927	5854		
seed-14999	2652	172	20	152	9.65	seed-14999	2654		
seed-15133	6274	146	86	60	1.735	seed-15133	12125		
seed-15214	4385	132	94	38	2.408	seed-15214	7360		
seed-15318	8326	135	65	70	1.036	seed-15318	18123		
seed-15351	2194	49	11	38	3.24	seed-15351	2216		
